Software-ID,Citations,Bib.Ref.abs,Bib.Ref.rel,Bib.Soft.abs,Bib.Soft.rel
Cartonera-Publishers-Database,1,0,0,1,1
CATMA,1,0,0,1,1
TPEN,1,0,0,1,1
Scandroid,1,0,0,1,1
Catalogue_Digital_Editions,1,0,0,1,1
BRIT,1,0,0,1,1
Prelude,1,0,0,1,1
Semantic-MediaWiki,1,0,0,1,1
LiteratureTranslation,1,0,0,1,1
Mulaka,1,0,0,1,1
Peluconas,1,0,0,1,1
Wirikuta,1,0,0,1,1
AcuGIS_Carta,1,0,0,1,1
Omeka_Reference,1,0,0,1,1
MediaWiki,2,0,0,1,0.5
Logo,1,1,1,0,0
NetsBlox,1,1,1,0,0
Scratch,1,1,1,0,0
Snap,1,1,1,0,0
TurtleGraphics,1,0,0,0,0
Voyant,1,1,1,0,0
IncipitSearch,1,1,1,0,0
word2vec,2,1,0.5,0,0
MySQL,2,0,0,0,0
NLTK,1,1,1,0,0
OpheliaOH,1,0,0,0,0
Knora,1,1,1,0,0
SALSAH,1,0,0,0,0
ANNIS,1,1,1,0,0
CHQL,1,0,0,0,0
SQL,3,0,0,0,0
SQWRL,1,1,1,0,0
CollateX,1,1,1,0,0
Concourse,1,0,0,0,0
Python,6,0,0,0,0
Stemmaweb,1,1,1,0,0
GIS,3,0,0,0,0
GoogelDrive,1,0,0,0,0
Omeka,2,0,0,0,0
SpatialHumanitiesKit,2,0,0,0,0
cPanel,1,0,0,0,0
EsriCityEngine,1,0,0,0,0
JavaScript,5,0,0,0,0
Leaflet,2,0,0,0,0
ARACNE,1,0,0,0,0
Elastic,1,0,0,0,0
Jena,1,0,0,0,0
Lucene,1,0,0,0,0
eXistdb,1,0,0,0,0
OpenTOSCA,1,1,1,0,0
TOSCA,1,1,1,0,0
Winery,1,1,1,0,0
Smart_Compose,1,0,0,0,0
Ugarit,1,0,0,0,0
Golden_Agents,1,0,0,0,0
Lenticular_Lenses_II,1,1,1,0,0
Rolling.Classify,1,0,0,0,0
Rolling.Delta,1,0,0,0,0
ReRites,1,1,1,0,0
SonGenApp,1,0,0,0,0
GeoNewsMiner,1,0,0,0,0
Agirrezabal-et-al_2017,1,1,1,0,0
FreeLing,1,1,1,0,0
Gervas_2000,1,1,1,0,0
HisMeTag,1,1,1,0,0
Java,1,0,0,0,0
JollyJumper,1,0,0,0,0
Jupyter_Notebook,2,0,0,0,0
Mestre_1998,1,1,1,0,0
Navarro-Colorado_2017,1,1,1,0,0
PoetryLab,1,0,0,0,0
Rantanplan,1,1,1,0,0
React,1,0,0,0,0
ZeuScansion,1,1,1,0,0
spaCy,1,1,1,0,0
spacy-affixes,1,0,0,0,0
GitHub,3,0,0,0,0
SOLR,1,0,0,0,0
XSLT,2,0,0,0,0
Bootstrap,1,0,0,0,0
Tacitus_Online,1,0,0,0,0
Dictionnaire_topographique_API,1,0,0,0,0
BBTalk,1,0,0,0,0
Heterotoki,1,0,0,0,0
Mapping_Memory_Manager,1,1,1,0,0
OpenTermAlign,1,0,0,0,0
PHP,1,0,0,0,0
VisTA,1,1,1,0,0
Vocabulary_Matching_Tool,1,0,0,0,0
Advene,1,1,1,0,0
Celluloid,1,0,0,0,0
Final_Cut,1,0,0,0,0
Lignes_de_temps,1,1,1,0,0
Media_Cope,1,0,0,0,0
MemoRekall,1,0,0,0,0
Pad.ma,1,0,0,0,0
Premiere,1,0,0,0,0
VLC,1,0,0,0,0
Vialogues,1,0,0,0,0
VideoAnt,1,0,0,0,0
YouTube,1,0,0,0,0
VOSviewer,3,2,0.666666666666666667,0,0
OpenCV,1,0,0,0,0
Pytesseract,1,0,0,0,0
Tesseract,1,0,0,0,0
ArcGIS,1,0,0,0,0
CloudCompare,1,0,0,0,0
DigaIT,1,1,1,0,0
Lercari-et-al_2018,1,1,1,0,0
Lingle-Seifert_2017,1,1,1,0,0
Unity,2,0,0,0,0
ELEM,1,0,0,0,0
Webpack,1,0,0,0,0
Archivo_Procesos_Fotograficos,1,0,0,0,0
Drupal,1,0,0,0,0
Gephi,3,0,0,0,0
MapModern,1,0,0,0,0
Revistas_Culturales_2.0,1,0,0,0,0
Revistas_Ideias_Cultura,1,0,0,0,0
nodegoat,1,0,0,0,0
RAICES,1,1,1,0,0
Tentacion_Desierto,1,0,0,0,0
Atlas_Narrativa_Mexicana,1,0,0,0,0
Scalar,1,0,0,0,0
Wandora,1,0,0,0,0
BAC,1,0,0,0,0
CARTO,1,0,0,0,0
AcuGIS,1,0,0,0,0
Omeka_ItemRelations,1,0,0,0,0
A-Frame,1,0,0,0,0
Blender,1,0,0,0,0
D3.js,1,0,0,0,0
EntityMapper,1,1,1,0,0
Matplotlib,1,0,0,0,0
Pandas,1,0,0,0,0
