SoftwareID,Dateipfad,Name.Only,Name.Only (bool),Bib.Ref,Bib.Ref (bool),Bib.Soft,Bib.Soft (bool),Agent,Agent (bool),URL,URL (bool),PID,PID (bool),Ver,Ver (bool)
WebGL,../data/deu/ADHO-DH/2016/tei,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CGS,../data/deu/ADHO-DH/2016/tei,1,1,0,0,0,0,0,0,0,0,0,0,0,0
eComparatio,../data/deu/ADHO-DH/2016/tei,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Webble,../data/deu/ADHO-DH/2016/tei,2,1,1,1,0,0,0,0,0,0,0,0,0,0
Signum,../data/deu/ADHO-DH/2019/tei,2,1,0,0,0,0,0,0,0,0,0,0,0,0
CWRC,../data/eng/ADHO-DH/2015/tei,19,1,1,1,0,0,0,0,0,0,0,0,0,0
CWRC-Writer,../data/eng/ADHO-DH/2015/tei,2,1,1,1,0,0,0,0,0,0,0,0,0,0
EdinburghGeoparser,../data/eng/ADHO-DH/2015/tei,0,0,1,1,0,0,0,0,1,1,0,0,0,0
Edinburghgazetteer,../data/eng/ADHO-DH/2015/tei,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Indri,../data/eng/ADHO-DH/2015/tei,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Palimpsest,../data/eng/ADHO-DH/2015/tei,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Gephi,../data/eng/ADHO-DH/2015/tei,0,0,1,1,0,0,0,0,0,0,0,0,0,0
R,../data/eng/ADHO-DH/2015/tei,1,1,0,0,0,0,0,0,0,0,0,0,0,0
iGraph,../data/eng/ADHO-DH/2015/tei,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Cytoscape,../data/eng/ADHO-DH/2015/tei,1,1,0,0,0,0,0,0,0,0,0,0,0,0
XSLT,../data/eng/ADHO-DH/2015/tei,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ABBY,../data/eng/ADHO-DH/2015/tei,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Juxta,../data/eng/ADHO-DH/2015/tei,2,1,0,0,0,0,0,0,0,0,0,0,0,0
OmniPage,../data/eng/ADHO-DH/2015/tei,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Tesseract,../data/eng/ADHO-DH/2015/tei,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Voyant,../data/eng/ADHO-DH/2015/tei,1,1,0,0,0,0,0,0,0,0,0,0,0,0
FromThePage,../data/eng/ADHO-DH/2015/tei,3,1,0,0,0,0,1,1,0,0,0,0,0,0
